# Created at 2020-06-08 17:52 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
129,407,IDRU,-1891950.445,-4300690.312,4300780.939,42.661493868,-113.745551074,1264.5421,0,TRM55971.00     NONE,Rupert Idaho,TRIMBLE,TRIMBLE NETRS,Nav 5.03 / Boot 5.03,
36,406,UTRS,-1797229.299,-4411707.031,4228943.713,41.787739312,-112.164866345,1334.809,0,TRM57971.00     NONE,Riverside,TRIMBLE,TRIMBLE ALLOY,Nav 5.33 / Boot 5.33,5824R40107
54,405,UTRO,-1666196.177,-4579107.333,4103941.833,40.29409458,-109.99488877,1538.0381,0,TRM55971.00     NONE,Roosevelt,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4833K57764
48,404,UTRI,-1874167.72581646,-4615067.28006465,3972872.95002362,38.7631948,-112.101952806,1629.229,0,TRM55971.00     NONE,Richfield,TRIMBLE,TRIMBLE ALLOY,Nav 5.37 / Boot 5.37,5750R40094
15,403,UTRC,-1724909.868,-4450676.46,4219151.595,41.665016678,-111.184402166,1910.8399,0,TRM55971.00     NONE,Rich County Randolph,TRIMBLE,TRIMBLE NETR5,Nav 0.00 / Boot 3.50,4722K10097
35,402,UTR1,-1797482.996,-4453246.25,4185312.794,41.26339046,-111.980693585,1300.3551,0,TRM57971.00     NONE,Region 1 Udot Ogden,TRIMBLE,TRIMBLE ALLOY,Nav 5.33 / Boot 5.33,5818R40012
82,401,UTPV,-1886019.091,-4372439.29,4231564.476,41.816598438,-113.332591862,1680.9944,0,TRM55971.00     NONE,Park Valley,TRIMBLE,TRIMBLE ALLOY,Nav 5.43 / Boot 5.43,5949R40190
81,400,UTPC,-1776393.508,-4510884.124,4133932.296,40.644233613,-111.494600957,2159.2643,0,TRM55971.00     NONE,Park City,TRIMBLE,TRIMBLE NETR5,Nav 0.00 / Boot 4.03,4943K64186
122,399,UTP2,-1745061.75,-4603214.423,4044436.499,39.593916776,-110.761534713,1714.2069,0,TRM57971.00     NONE,Price 2,TRIMBLE,TRIMBLE ALLOY,,5948R40119
10,398,UTOG,-1797956.281,-4456550.769,4181683.7,41.219586845,-111.971179436,1345.3595,0,TRM55971.00     NONE,Ogden City,TRIMBLE,TRIMBLE ALLOY,Nav 5.37 / Boot 5.37,5920R40049
